Location,SampleDate,SampleYear,SampleMonth,Period,Recorder,Transect,Substrate,Height,Notes,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,DICT,0.9,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,DICT,1.8,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,DICT,1.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,DICT,2.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,DICT,4.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,DICT,0.8,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,DICT,0.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,FIL,0.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,FIL,0.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,FIL,0.4,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,FIL,1.0,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,FIL,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,FIL,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,FIL,0.8,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,FIL,0.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,FIL,0.1,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,FIL,1.0,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,FIL,0.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,LOBO,1.0,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,LOBO,1.7,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,LOBO,1.5,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,LOBO,1.2,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,LOBO,1.3,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,LOBO,0.6,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,LOBO,1.7,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,LOBO,0.9,,,,
Cane Bay,8/12/2012,2012,8,Annual,Marilyn Brandt,1,LOBO,1.0,,,,
